address,lattitude,longitude
"25 10th St",37.776378,-122.416676
"147 Minna St",37.786521,-122.399982
"199 Fremont St",37.789375,-122.39483
"22 04th St",37.785264,-122.405469
"223 Stevenson St",37.786138,-122.40344
"225 Bush St",37.790866,-122.400986
"240 Pacific Ave",37.797852,-122.400267
"25 Beach St",37.807787,-122.409301
"29 Brady St",37.773165,-122.420277
"303 02nd St",37.785555,-122.396225
"333 03rd St",37.783516,-122.398097
"3490 California St",37.786809,-122.451339
"350 Sansome St",37.793662,-122.400805
"450 North Point St",37.806589,-122.414807
"475 Sansome St",37.794553,-122.401512
"500 Howard St",37.788484,-122.396218
"505 Montgomery St",37.793772,-122.403039
"55 Hawthorne St",37.785331,-122.398154
"550 California St",37.792917,-122.40333
"580 Brannan St",37.777101,-122.398199
"600 Montgomery St",37.794692,-122.402701
"601 Montgomery St",37.794626,-122.403214
"750 Bush St",37.790209,-122.409474
"750 Front St",37.798261,-122.399335
"795 Folsom St",37.781951,-122.400634
"80 Francisco St",37.80574,-122.406466
"999 California St",37.791604,-122.410422
"160 Jefferson St",37.808429,-122.415214
"1230 Carroll Ave",37.720762,-122.385344
"25 Arelious Walker Dr",37.718656,-122.385272
"528 Gilman Ave",37.715523,-122.382802
"690 Egbert Ave",37.717289,-122.382635
"76 Arelious Walker Dr",37.717781,-122.385961
"626 Green St",37.799588,-122.409371
"455 North Point St",37.806189,-122.414445
"450 10th St",37.770591,-122.411002
"5200 Geary Blvd",37.780701,-122.474839
"600 The Embarcadero",37.782798,-122.388456
"1021 Mission St",37.780314,-122.408922
"1310 Fillmore Street",37.78158,-122.431917
"160 Spear St",37.791621,-122.393148
"606 Capp St",37.756711,-122.417908
"1231 Market St",37.778157,-122.414288
"818 Leavenworth St",37.788603,-122.414785
"210 Taylor St",37.784339,-122.410454
"25 Mason St",37.783573,-122.409206
"530 Turk St",37.782479,-122.417626
"1375 Fillmore St",37.781996,-122.432527
"51 Hagiwara Tea Garden Dr",37.770372,-122.467449
"833 Bryant St",37.775276,-122.402871
"622 Washington St",37.795597,-122.403894
"3698 Laguna St",37.805093,-122.4316
"760 Bryant St",37.776908,-122.401542
"3 Transit Facility",37.807699,-122.474081
"25 Battery Cranston",37.806308,-122.475697
"1051 Taylor St",37.792017,-122.412623
"325 Grove St",37.777708,-122.421777
"550 Ofarrell St",37.78584,-122.413658
"433 Mason St",37.787537,-122.410033
"155 Steuart St",37.792666,-122.391977
"40 Pier Three",37.797931,-122.394909
"770 Broadway",37.797642,-122.409598
"1115 Gorgas Ave",37.801439,-122.450057
"100 Folsom St",37.790098,-122.391053
"1050 03rd St",37.775349,-122.390012
"1099 03rd St",37.775409,-122.388605
"1537 Mission St",37.77355,-122.417375
"179 Eddy St",37.783985,-122.409967
"1750 Fulton St",37.776062,-122.445491
"2210 Stockton St",37.806182,-122.409899
"2291 Stockton St",37.806728,-122.410533
"350 Bay St",37.805876,-122.412641
"350 Beach St",37.807533,-122.41466
"40 Pier Thirty",37.786579,-122.386544
"425 Broadway",37.797916,-122.40407
"55 Bryant St",37.786554,-122.388448
"788 Harrison St",37.781113,-122.399327
"1898 Van Ness Ave",37.7931,-122.422423
"2190 Ofarrell St",37.782429,-122.440539
"2238 Geary Blvd",37.783447,-122.440014
"4141 Geary Blvd",37.780234,-122.463375
"3657 Sacramento St",37.787184,-122.452633
"125 Stevenson St",37.788339,-122.400801
"111 Woodside Ave",37.746855,-122.456691
"728 Pacific Ave",37.797002,-122.407127
"1080 Sutter St",37.788174,-122.417912
"11 Oak St",37.775135,-122.419451
"1333 Castro St",37.75098,-122.433611
"1636 Powell St",37.799657,-122.410273
"2238 Clement St",37.78226,-122.482998
"301 06th St",37.778559,-122.405187
"400 03rd St",37.782317,-122.397325
"450 05th St",37.778334,-122.401205
"725 Harrison St",37.781832,-122.397681
"75 Natoma St",37.787622,-122.397654
"900 Sansome St",37.79851,-122.401802
"2300 Sutter St",37.785593,-122.438224
"401 Main St",37.788108,-122.389791
"204 02nd St",37.786478,-122.398115
"1401 Mission St",37.774961,-122.415697
"541 Ellis St",37.784305,-122.414997
"681 Green St",37.799097,-122.410015
"2299 Post St",37.784126,-122.439158
"178 Townsend St",37.779466,-122.392089
"655 Montgomery St",37.795063,-122.403304
"443 Divisadero St",37.773457,-122.437617
"2601 Mariposa St",37.762792,-122.409462
